lemma,total_count,n_wordforms,wordforms_top5,H,D
an,101,1,an:101,-1.000088900581841e-12,0.9999999999989999
ausschuss,98,1,ausschuss:98,-1.000088900581841e-12,0.9999999999989999
beide,100,1,beiden:100,-1.000088900581841e-12,0.9999999999989999
beteiligt,100,1,beteiligten:100,-1.000088900581841e-12,0.9999999999989999
bis,101,1,bis:101,-1.000088900581841e-12,0.9999999999989999
bürger,101,1,bürger:101,-1.000088900581841e-12,0.9999999999989999
der,899,4,das:400; die:303; der:98; den:98,1.2100700369904638,2.9821044436237947
dieser,100,1,dieses:100,-1.000088900581841e-12,0.9999999999989999
diskutieren,100,1,diskutieren:100,-1.000088900581841e-12,0.9999999999989999
europäisch,100,1,europäische:100,-1.000088900581841e-12,0.9999999999989999
freihandelsabkomm,100,1,freihandelsabkommen:100,-1.000088900581841e-12,0.9999999999989999
für,98,1,für:98,-1.000088900581841e-12,0.9999999999989999
genehmigen,98,1,genehmigt:98,-1.000088900581841e-12,0.9999999999989999
haben,199,2,haben:101; hat:98,0.69303354275926,1.9995455692966837
haushalt,98,1,haushalt:98,-1.000088900581841e-12,0.9999999999989999
jahr,101,1,jahr:101,-1.000088900581841e-12,0.9999999999989999
kommen,100,1,kommen:100,-1.000088900581841e-12,0.9999999999989999
mitgliedstaat,101,1,mitgliedstaaten:101,-1.000088900581841e-12,0.9999999999989999
müssen,101,1,müssen:101,-1.000088900581841e-12,0.9999999999989999
neu,98,1,neue:98,-1.000088900581841e-12,0.9999999999989999
nächster,201,2,nächstes:101; nächste:100,0.6931348045756015,1.9999504974961237
parlament,201,1,parlament:201,-1.000088900581841e-12,0.9999999999989999
petition,101,1,petitionen:101,-1.000088900581841e-12,0.9999999999989999
programm,98,1,programm:98,-1.000088900581841e-12,0.9999999999989999
recht,101,1,recht:101,-1.000088900581841e-12,0.9999999999989999
richten,101,1,richten:101,-1.000088900581841e-12,0.9999999999989999
richtlinie,101,1,richtlinie:101,-1.000088900581841e-12,0.9999999999989999
thema,100,1,thema:100,-1.000088900581841e-12,0.9999999999989999
umsetzen,101,1,umsetzen:101,-1.000088900581841e-12,0.9999999999989999
werden,100,1,wird:100,-1.000088900581841e-12,0.9999999999989999
woche,100,1,woche:100,-1.000088900581841e-12,0.9999999999989999
zu,101,1,zu:101,-1.000088900581841e-12,0.9999999999989999
zugute,100,1,zugute:100,-1.000088900581841e-12,0.9999999999989999
