lemma,total_count,n_wordforms,wordforms_top5,H,D
--,40,11,you:10; it:7; al:5; of:4; s:4,2.1425496537854016,7.079646017648994
a,4,1,a:4,-1.000088900581841e-12,0.9999999999989999
ab,7,1,ab:7,-1.000088900581841e-12,0.9999999999989999
aber,31,1,aber:31,-1.000088900581841e-12,0.9999999999989999
agentur,3,2,agentur:2; agenturen:1,0.6365141682928128,1.79999999999676
air,3,1,air:3,-1.000088900581841e-12,0.9999999999989999
al,5,1,al:5,-1.000088900581841e-12,0.9999999999989999
alle,7,2,alles:4; allem:3,0.6829081046984717,1.9599999999961588
allenbrand,3,1,allenbrand:3,-1.000088900581841e-12,0.9999999999989999
aller,14,3,alle:12; allen:1; aller:1,0.5091373440796869,1.3424657534228557
als,49,1,als:49,-1.000088900581841e-12,0.9999999999989999
also,10,1,also:10,-1.000088900581841e-12,0.9999999999989999
alt,9,4,alten:3; alt:2; älteren:2; ältere:2,1.3689223607362195,3.85714285712798
an,61,2,an:49; am:12,0.49582346409136524,1.4620825147326364
anderer,14,3,andere:7; anderen:6; anderer:1,0.8982053397011498,2.2790697674366664
anforderung,4,2,anforderungen:3; anforderung:1,0.5623351446168083,1.5999999999974401
antwort,5,2,antwort:4; antworten:1,0.5004024235361879,1.4705882352919548
arbeit,3,1,arbeit:3,-1.000088900581841e-12,0.9999999999989999
art,6,3,art:2; arten:2; arts:2,1.0986122886651097,2.9999999999910005
auch,24,1,auch:24,-1.000088900581841e-12,0.9999999999989999
auf,62,1,auf:62,-1.000088900581841e-12,0.9999999999989999
aufgrund,4,1,aufgrund:4,-1.000088900581841e-12,0.9999999999989999
august,3,1,august:3,-1.000088900581841e-12,0.9999999999989999
augusta,5,1,augusta:5,-1.000088900581841e-12,0.9999999999989999
aus,26,1,aus:26,-1.000088900581841e-12,0.9999999999989999
ausbildung,3,1,ausbildung:3,-1.000088900581841e-12,0.9999999999989999
b,3,1,b:3,-1.000088900581841e-12,0.9999999999989999
bauen,4,2,bauen:3; gebaut:1,0.5623351446168083,1.5999999999974401
bedeuten,4,3,bedeutet:2; bedeutete:1; bedeuten:1,1.039720770836918,2.6666666666595558
befinden,7,1,befindet:7,-1.000088900581841e-12,0.9999999999989999
bei,10,2,bei:9; beim:1,0.32508297338944825,1.219512195120464
beide,6,2,beiden:5; beide:1,0.4505612088643047,1.3846153846134672
beispiel,3,2,beispiel:2; beispiele:1,0.6365141682928128,1.79999999999676
beschränkung,3,1,beschränkung:3,-1.000088900581841e-12,0.9999999999989999
