,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index
0,Notice of contact depends on the time the infectious person is informed of her infection and the time-to-reach-all-contacts of that person .,"['Notice', 'of', 'contact', 'depends', 'on', 'the', 'time', 'the', 'infectious', 'person', 'is', 'informed', 'of', 'her', 'infection', 'and', 'the', 'time', '-', 'to', '-', 'reach', '-', 'all', '-', 'contacts', 'of', 'that', 'person', '.']",person,her,9,13,female,1,4,1,covid19,1
1,Hepaprotective agent glycyrrhizinate was added to her treatment .,"['Hepaprotective', 'agent', 'glycyrrhizinate', 'was', 'added', 'to', 'her', 'treatment', '.']",agent,her,1,6,female,1,5,1,covid19,1
2,"So yes , that was humbling . "" Addressing the effects of stigma against HCWs My healthcare assistant was told by her landlord to pack up and leave on a Friday afternoon , after he found out that she worked in our hospital .","['So', 'yes', ',', 'that', 'was', 'humbling', '.', '""', 'Addressing', 'the', 'effects', 'of', 'stigma', 'against', 'HCWs', 'My', 'healthcare', 'assistant', 'was', 'told', 'by', 'her', 'landlord', 'to', 'pack', 'up', 'and', 'leave', 'on', 'a', 'Friday', 'afternoon', ',', 'after', 'he', 'found', 'out', 'that', 'she', 'worked', 'in', 'our', 'hospital', '.']",assistant,her,17,21,female,1,4,3,covid19,1
3,"Following previous works based on classical probability , e.g. [ 7 , 8 , 10 , 11 ] , we assume that an agent is provided n linear constraints over her belief on the formulas ϕ 1 , . . . , ϕ m , of the form :","['Following', 'previous', 'works', 'based', 'on', 'classical', 'probability', ',', 'e.g.', '[', '7', ',', '8', ',', '10', ',', '11', ']', ',', 'we', 'assume', 'that', 'an', 'agent', 'is', 'provided', 'n', 'linear', 'constraints', 'over', 'her', 'belief', 'on', 'the', 'formulas', 'ϕ', '1', ',', '.', '.', '.', ',', 'ϕ', 'm', ',', 'of', 'the', 'form', ':']",agent,her,23,30,female,1,7,1,covid19,1
4,"The second aspect is the agent neighborhood ! ( , ) which is simply a fraction of the number of her neighbors divided by a global constant maximum neighbors M. The factor corresponds to understanding that human tends to reach out others for their individual needs , be it economic , cultural , and social well-being .","['The', 'second', 'aspect', 'is', 'the', 'agent', 'neighborhood', '!', '(', ',', ')', 'which', 'is', 'simply', 'a', 'fraction', 'of', 'the', 'number', 'of', 'her', 'neighbors', 'divided', 'by', 'a', 'global', 'constant', 'maximum', 'neighbors', 'M.', 'The', 'factor', 'corresponds', 'to', 'understanding', 'that', 'human', 'tends', 'to', 'reach', 'out', 'others', 'for', 'their', 'individual', 'needs', ',', 'be', 'it', 'economic', ',', 'cultural', ',', 'and', 'social', 'well', '-', 'being', '.']",agent,her,5,20,female,1,15,1,covid19,14
5,"It proposes that our ? baseline ? is relational , where each person becomes her singular self through networks of relations with others and planet Relationality is explored through Trinity , covenant , evolutionary biology , and psychology The article concludes that public policy must be grounded not in ? us-them ? thinking but in relationality as this is how we are created","['It', 'proposes', 'that', 'our', '?', 'baseline', '?', 'is', 'relational', ',', 'where', 'each', 'person', 'becomes', 'her', 'singular', 'self', 'through', 'networks', 'of', 'relations', 'with', 'others', 'and', 'planet', 'Relationality', 'is', 'explored', 'through', 'Trinity', ',', 'covenant', ',', 'evolutionary', 'biology', ',', 'and', 'psychology', 'The', 'article', 'concludes', 'that', 'public', 'policy', 'must', 'be', 'grounded', 'not', 'in', '?', 'us', '-', 'them', '?', 'thinking', 'but', 'in', 'relationality', 'as', 'this', 'is', 'how', 'we', 'are', 'created']",person,her,12,14,female,1,2,1,covid19,17
6,"Indirect contact transmission occurs when infectious virus is transferred from an inanimate object , or fomite , ( such as a doorknob , telephone , or computer keyboard touched by an infected person ) to the hand of a susceptible person , who then inoculates her own nasal mucosa by rubbing or touching her nose .","['Indirect', 'contact', 'transmission', 'occurs', 'when', 'infectious', 'virus', 'is', 'transferred', 'from', 'an', 'inanimate', 'object', ',', 'or', 'fomite', ',', '(', 'such', 'as', 'a', 'doorknob', ',', 'telephone', ',', 'or', 'computer', 'keyboard', 'touched', 'by', 'an', 'infected', 'person', ')', 'to', 'the', 'hand', 'of', 'a', 'susceptible', 'person', ',', 'who', 'then', 'inoculates', 'her', 'own', 'nasal', 'mucosa', 'by', 'rubbing', 'or', 'touching', 'her', 'nose', '.']",person,her,40,53,female,1,13,2,covid19,17
7,The person receiving opening her fist to let the figure appears .,"['The', 'person', 'receiving', 'opening', 'her', 'fist', 'to', 'let', 'the', 'figure', 'appears', '.']",person,her,1,4,female,1,3,1,covid19,17
8,She became the ' new eve ' of the second Genesis as she was the first person who donated her genes for the Human Genome Project .,"['She', 'became', 'the', ""'"", 'new', 'eve', ""'"", 'of', 'the', 'second', 'Genesis', 'as', 'she', 'was', 'the', 'first', 'person', 'who', 'donated', 'her', 'genes', 'for', 'the', 'Human', 'Genome', 'Project', '.']",person,her,16,19,female,1,3,3,covid19,17
9,"Here an infected person can infect her nearest neighbours with a probability q. Although one assumes that there is no mobility for the agents here , the fact that they can infect a person at a distance , implicitly includes the possibility that the agent can travel .","['Here', 'an', 'infected', 'person', 'can', 'infect', 'her', 'nearest', 'neighbours', 'with', 'a', 'probability', 'q.', 'Although', 'one', 'assumes', 'that', 'there', 'is', 'no', 'mobility', 'for', 'the', 'agents', 'here', ',', 'the', 'fact', 'that', 'they', 'can', 'infect', 'a', 'person', 'at', 'a', 'distance', ',', 'implicitly', 'includes', 'the', 'possibility', 'that', 'the', 'agent', 'can', 'travel', '.']",person,her,3,6,female,1,3,1,covid19,17
