category,valence,arousal,dominance,joy,anger,sad,fear,disgust
metalworking_occupations,5.546997484769973,3.898577679569837,5.588856432769569,2.2367696742584307,1.3825022803455054,1.3873632951775188,1.4215641221739337,1.3857775396682877
sewing_occupations,5.5432098977692,3.82285848748291,5.577359717647135,2.217727850374077,1.368117023050386,1.3656405737070745,1.4031725731631288,1.374713964860702
healthcare_occupations,5.538299160687354,3.966892893060932,5.5727575117744,2.25273208000339,1.4202799812599372,1.4246983390956995,1.472625570284437,1.4104145853114043
computer_occupations,5.645502799172308,3.9104870321924414,5.7128268761636924,2.334103388136926,1.3675923249749822,1.365828067035782,1.40159680268055,1.3849578993238565
film_and_television_occupations,5.702557466466028,4.050934742276638,5.684064821052204,2.3936285286153764,1.3731822558157425,1.376215997119951,1.4259270621160287,1.3674605638962434
artistic_occupations,5.737309037683915,3.9650223336328567,5.688889179628867,2.425023849783359,1.3627783945680565,1.3640279892235176,1.3992199116155823,1.3630868783048242
scientific_occupations,5.57656629706148,3.9303704713052094,5.583524232931802,2.264149968327636,1.383590444217539,1.3862316001308377,1.4228994123257963,1.3807929219776498
entertainer_occupations,5.705237263901953,4.0673566062118764,5.635469340668496,2.4171211116190463,1.3941608867749615,1.3888440355587377,1.4329312237370015,1.3913348707954132
dance_occupations,5.833247133862265,4.162828480030063,5.633912269768601,2.532611750343712,1.3658937015138308,1.3710899116939983,1.4173912030627072,1.3481448649949552
nursing_specialties,5.701592433806501,3.93004436108799,5.591228041587223,2.45061802925828,1.402953693182745,1.406047461032948,1.447641055031341,1.382993255208278
writing_occupations,5.660861808140903,3.942955586196688,5.70318696004844,2.3479770774918234,1.372346772955323,1.371029414382223,1.407772566172342,1.3742411908564245
professional_driver_types,5.528850152607102,3.911618171699117,5.547272519344992,2.251678477738918,1.4049985308519073,1.4333905462046257,1.4498126973378902,1.4073167016777772
engineering_branches,5.555940656867166,3.979689551757411,5.545584383855009,2.2616328346542334,1.4080114058948263,1.3989642502984745,1.4574479286092732,1.4030628900446251
mental_health_occupations,5.628235934472133,4.008535071144043,5.619183754802115,2.342285346347786,1.4025150463521874,1.3952624183440647,1.4436441545133596,1.3868570706755818
theatre_personnel,5.721873170789219,4.068616958786325,5.66496642313952,2.4220490568814417,1.377553918989282,1.3790150534943246,1.428067992503883,1.369625350362874
corporate_titles,5.53234296527307,3.9459619978936487,5.495691878624576,2.224682625861933,1.3990111898460302,1.3973475003243394,1.469744716248964,1.3828322141461742
industrial_occupations,5.574063612240472,3.912646460261717,5.621094661243279,2.2555623726740848,1.3973211894782236,1.3951678171423894,1.4361457901323442,1.3934566302909903
railway_industry_occupations,5.561234590760683,3.958881649480346,5.530039396994848,2.284737405583664,1.4133903452536558,1.412094068590502,1.4544834894732723,1.4114840585291606
