category,positive,neutral,negative,total,avg_score
metalworking_occupations,563,48,14,625,0.8784
sewing_occupations,718,96,16,830,0.8457831325301205
healthcare_occupations,484,25,22,531,0.8700564971751412
computer_occupations,201,6,2,209,0.9521531100478468
film_and_television_occupations,218,18,9,245,0.8530612244897959
artistic_occupations,388,31,14,433,0.8637413394919169
scientific_occupations,765,35,24,824,0.8992718446601942
entertainer_occupations,376,42,24,442,0.7963800904977375
dance_occupations,585,30,11,626,0.9169329073482428
nursing_specialties,282,10,1,293,0.9590443686006824
writing_occupations,331,38,52,421,0.66270783847981
professional_driver_types,45,14,3,62,0.6774193548387096
engineering_branches,2782,259,79,3120,0.8663461538461539
mental_health_occupations,328,10,11,349,0.9083094555873924
theatre_personnel,778,47,17,842,0.9038004750593824
corporate_titles,98,1,0,99,0.98989898989899
industrial_occupations,99,5,3,107,0.897196261682243
railway_industry_occupations,121,11,5,137,0.8467153284671532
