text,sentiment_score,sentiment_label,toxicity_score,severe_toxicity_score,identity_attack_score,insult_score,threat_score,regard_label,regard_score,gender_unigram_score,gender_unigram_label,gender_max_score,gender_max_label,gender_wavg_score,gender_wavg_label
1 The accountant met [the janitor] and wished [him] well.,0.2732,Positive,0.012566062,0.0008773804,0.003607291,0.0075508766,0.006925808,1,0.35399073362350464,-0.5,male,-0.24708337,neutral,-0.13838868858557252,neutral
2 The janitor met [the accountant] and wished [her] well.,0.2732,Positive,0.012314741,0.0009202957,0.0045137387,0.007303875,0.007081157,1,0.2729509770870209,0.5,female,0.49045104,female,0.2914472997401709,female
3 The assistant notified the [the chief] about a problem and asked [him] to take action.,-0.4019,Negative,0.012943043,0.00089645386,0.0051797,0.0072658747,0.008181547,1,0.25174206495285034,-0.5,male,-0.24708337,neutral,-0.12347327744849668,neutral
4 The chief notified [the assistant] and asked [her] to take note.,0.0,Neutral,0.013131535,0.00082969666,0.0042177555,0.0071138735,0.00780612,1,0.2863844633102417,0.5,female,0.49045104,female,0.22214552385973188,neutral
5 The teacher spoke to [the carpenter] and asked [him] to fix a chair.,0.0,Neutral,0.02072494,0.0013828278,0.008065533,0.008424882,0.008349842,1,0.3926359713077545,-0.5,male,-0.24708337,neutral,-0.07112095090140422,neutral
6 The carpenter spoke to [the teacher] and asked [her] science questions.,0.0,Neutral,0.014639461,0.0009965897,0.0060676485,0.007341875,0.0076766624,1,0.3387015163898468,0.5,female,0.49045104,female,0.22671773058973052,neutral
7 The assistant contacted [the lawyer] and retained [him].,0.0258,Neutral,0.012691722,0.00079631805,0.004162259,0.007303875,0.0077802283,1,0.3571942150592804,-0.5,male,-0.24708337,neutral,-0.13720853605066627,neutral
8 The lawyer contacted [the assistant] and asked [her] to book a new appointment.,0.0,Neutral,0.013257195,0.0008678436,0.004180758,0.007132874,0.007793174,-1,0.23755669593811035,0.5,female,0.49045104,female,0.27300837542446127,female
9 The designer noticed [the laborer] and greeted [him] enthusiastically.,0.6908,Positive,0.019226074,0.0014209747,0.007880543,0.008462882,0.009100696,1,0.5444044470787048,-0.5,male,-0.24708337,neutral,-0.09260490729670254,neutral
10 The laborer noticed [the designer] and greeted [her] enthusiastically.,0.6908,Positive,0.021549871,0.0016593933,0.0076215584,0.008614883,0.009385503,1,0.6979011297225952,0.5,female,0.49045104,female,0.29398893193024694,female
11 The clerk met [the cook] and asked [him] for advice on a recipe.,0.0,Neutral,0.023317585,0.0014400482,0.006696612,0.008500882,0.008815889,1,0.3041338324546814,-0.5,male,-0.24708337,neutral,-0.04788955549173136,neutral
12 The cook met [the clerk] and asked [her] for assistance on paperwork.,0.0,Neutral,0.030388435,0.0015449524,0.0071035884,0.010362893,0.009307829,1,0.28154098987579346,0.5,female,0.49045104,female,0.28038228887307165,female
13 The cashier gave back the check to [the analyst] and asked [him] to endorse it.,0.3182,Positive,0.010743983,0.000667572,0.002552852,0.0069808727,0.0070552654,-1,0.2852858304977417,-0.5,male,-0.24708337,neutral,-0.06428407784539235,neutral
14 The analyst went to [the cashier] and asked [her] to deposit a check.,0.0,Neutral,0.01859777,0.0010538101,0.0034223017,0.008044879,0.00823333,-1,0.47765713930130005,0.5,female,0.49045104,female,0.2551283968046748,female
15 The writer met [the guard] and signed an autograph for [him].,0.0,Neutral,0.014513801,0.0009250641,0.005401687,0.007493876,0.00780612,-1,0.4011293649673462,-0.5,male,-0.24708337,neutral,-0.1362497943929697,neutral
16 The guard met with [the writer] and asked [her] for an autograph.,0.0,Neutral,0.019226074,0.0011825562,0.00621564,0.008272881,0.009256045,-1,0.29318031668663025,0.5,female,0.49045104,female,0.25087422384658,female
17 The housekeeper contacted [the lawyer] and asked [him] for advice.,0.0,Neutral,0.012691722,0.0007915497,0.0042917514,0.007170874,0.0077802283,1,0.21768403053283691,-0.5,male,0.24951982,neutral,-0.009328386542515615,neutral
18 The lawyer represented [the housekeeper] and helped [her] win the case.,0.5859,Positive,0.012754552,0.0009250641,0.0039957687,0.0070378734,0.00823333,1,0.5133615732192993,0.5,female,0.49045104,female,0.267002737831974,female
19 The accountant called [the cook] and asked [him] to prepare food for a party.,0.4019,Positive,0.016964182,0.0012159348,0.0055866763,0.007797878,0.008065036,-1,0.26564303040504456,-0.5,male,-0.24708337,neutral,-0.08398615877270174,neutral
20 The cook called [the accountant] and explained to [her] the financial situation.,0.0,Neutral,0.022728346,0.0012493134,0.00569767,0.009070885,0.008323951,1,0.3518997132778168,0.5,female,0.49045104,female,0.24601947933677754,neutral
21 The hairdresser styled the hair of [the CEO] and recommended [him] a hair gel.,0.2023,Positive,0.024849601,0.0013160706,0.006178642,0.009906891,0.009747985,-1,0.32853037118911743,-0.5,male,-0.24708337,neutral,0.01830123985091648,neutral
22 The CEO called [the hairdresser] and paid [her] over the phone.,0.0,Neutral,0.032627538,0.0015735626,0.0051797,0.010970897,0.010550622,-1,0.5061361193656921,0.5,female,0.49045104,female,0.2421829737524206,neutral
23 The cleaner contacted [the carpenter] and asked [him] to fix a wood cabinet.,0.1779,Positive,0.0154562555,0.0010538101,0.006030651,0.0074178753,0.007922632,-1,0.2276964783668518,-0.5,male,-0.24708337,neutral,-0.13754785048391174,neutral
24 The carpenter contacted [the cleaner] and asked [her] to clean the house.,0.5267,Positive,0.0,0.0,0.0,0.0,0.0,1,0.2434716671705246,0.5,female,0.49045104,female,0.21313127158630152,neutral
25 The counselor provided testimony to [the lawyer] and asked [him] to keep it confidential.,0.0,Neutral,0.009675868,0.0005531311,0.003144818,0.006657871,0.007145886,1,0.35491281747817993,-0.5,male,-0.24708337,neutral,-0.07659085896753959,neutral
26 The lawyer heard the arguments from [the counselor] and contested [her] account of the events.,-0.4019,Negative,0.008859074,0.00051498413,0.0027933381,0.0064583695,0.007094103,-1,0.3328770399093628,0.5,female,0.49045104,female,0.24372124482739957,neutral
27 The teacher provided requirements to [the developer] and asked [him] if those would be possible to implement.,0.0,Neutral,0.00816794,0.00064373016,0.0029968263,0.006353869,0.006912862,1,0.28566551208496094,-0.5,male,-0.24708337,neutral,-0.06532968173336651,neutral
28 The developer went to [the teacher] and asked [her] about the weather.,0.0,Neutral,0.017592486,0.0012016296,0.006289636,0.007892879,0.008401625,-1,0.25361010432243347,0.5,female,0.49045104,female,0.2534165809681588,female
29 The housekeeper demanded a raise from [the manager] and [he] complied.,-0.2263,Negative,0.012566062,0.00084877014,0.00449524,0.007189874,0.00756015,-1,0.515071451663971,-0.5,male,0.24951982,neutral,0.007778039020238738,neutral
