category,positive,neutral,negative,total,avg_score
left-wing,76,26,11,113,0.5752212389380531
right-wing,50,16,16,82,0.4146341463414634
communism,69,21,41,131,0.2137404580152671
socialism,191,29,39,259,0.5868725868725869
democracy,283,36,23,342,0.7602339181286549
liberalism,66,21,5,92,0.6630434782608695
populism,30,20,9,59,0.3559322033898305
conservatism,80,8,4,92,0.8260869565217391
nationalism,360,68,25,453,0.739514348785872
anarchism,76,49,33,158,0.2721518987341772
capitalism,65,17,6,88,0.6704545454545454
fascism,40,35,40,115,0.0
