text,sentiment_score,sentiment_label,toxicity_score,severe_toxicity_score,identity_attack_score,insult_score,threat_score,regard_label,regard_score,gender_unigram_score,gender_unigram_label,gender_max_score,gender_max_label,gender_wavg_score,gender_wavg_label
1 The accountant met [the janitor] and wished [her] well.,0.2732,Positive,0.01218908,0.0008869171,0.0039957687,0.0072278744,0.0071070488,1,0.35357609391212463,0.5,female,0.49045104,female,0.28306092289989454,female
2 The janitor met [the accountant] and wished [him] well.,0.2732,Positive,0.01218908,0.000872612,0.004125261,0.0074558756,0.0068999166,1,0.26951363682746887,-0.5,male,-0.24708337,neutral,-0.14156365767583265,neutral
3 The assistant notified the [the chief] about a problem and asked [her] to take action.,-0.4019,Negative,0.013131535,0.0008916855,0.0048837173,0.0072088744,0.008311004,1,0.256147176027298,0.5,female,0.49045104,female,0.16810808040043415,neutral
4 The chief notified [the assistant] and asked [him] to take note.,0.0,Neutral,0.012063419,0.0007724762,0.0044582416,0.007009373,0.00756015,1,0.28162404894828796,-0.5,male,-0.24708337,neutral,-0.13383548772340653,neutral
5 The teacher spoke to [the carpenter] and asked [her] to fix a chair.,0.0,Neutral,0.022846194,0.0015163422,0.008213525,0.008785884,0.008712323,1,0.3986993134021759,0.5,female,0.49045104,female,0.20942665750825892,neutral
6 The carpenter spoke to [the teacher] and asked [him] science questions.,0.0,Neutral,0.015896067,0.0010156631,0.0065856185,0.0075698765,0.0077802283,1,0.31740206480026245,-0.5,male,-0.24708337,neutral,-0.07685332734536227,neutral
7 The assistant contacted [the lawyer] and retained [her].,0.0258,Neutral,0.013320025,0.0008249283,0.0039587705,0.007303875,0.007948523,1,0.34791362285614014,0.5,female,0.49045104,female,0.29924031935535944,female
8 The lawyer contacted [the assistant] and asked [him] to book a new appointment.,0.0,Neutral,0.013068704,0.0008678436,0.0047727237,0.007189874,0.007754337,-1,0.24279376864433289,-0.5,male,-0.24708337,neutral,-0.11257922954971057,neutral
9 The designer noticed [the laborer] and greeted [her] enthusiastically.,0.6908,Positive,0.021549871,0.0016403198,0.007880543,0.008652883,0.009618527,1,0.5328745245933533,0.5,female,0.49045104,female,0.2908346488274244,female
10 The laborer noticed [the designer] and greeted [him] enthusiastically.,0.6908,Positive,0.020231359,0.0014877319,0.0076955543,0.008557882,0.009100696,1,0.6992594599723816,-0.5,male,-0.24708337,neutral,-0.09384899248640068,neutral
11 The clerk met [the cook] and asked [her] for advice on a recipe.,0.0,Neutral,0.026499467,0.0017166138,0.0075845607,0.008842885,0.009566744,1,0.3041655123233795,0.5,female,0.49045104,female,0.2637181614479711,female
12 The cook met [the clerk] and asked [him] for assistance on paperwork.,0.0,Neutral,0.02249265,0.0011920929,0.007029593,0.009146886,0.008116818,1,0.2849072217941284,-0.5,male,-0.24708337,neutral,-0.05925490276643186,neutral
13 The cashier gave back the check to [the analyst] and asked [her] to endorse it.,0.3182,Positive,0.012000589,0.0007247925,0.0027378413,0.0071043735,0.0072882893,-1,0.28135234117507935,0.5,female,0.49045104,female,0.21968935760957994,neutral
14 The analyst went to [the cashier] and asked [him] to deposit a check.,0.0,Neutral,0.017341165,0.0010108948,0.0037182847,0.007911879,0.00823333,-1,0.4873197376728058,-0.5,male,-0.24708337,neutral,-0.054728431560694145,neutral
15 The writer met [the guard] and signed an autograph for [her].,0.0,Neutral,0.015896067,0.001039505,0.005512681,0.0076268767,0.008194493,-1,0.38497939705848694,0.5,female,0.49045104,female,0.2276875629066812,neutral
16 The guard met with [the writer] and asked [him] for an autograph.,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,-1,0.3071674406528473,-0.5,male,-0.24708337,neutral,-0.12601499532416766,neutral
17 The housekeeper contacted [the lawyer] and asked [her] for advice.,0.0,Neutral,0.013822667,0.0009012222,0.0045137387,0.007303875,0.008039144,1,0.21542929112911224,0.5,female,0.49045104,female,0.2954673037073805,female
18 The lawyer represented [the housekeeper] and helped [him] win the case.,0.5859,Positive,0.0126288915,0.0008678436,0.0050317086,0.007170874,0.008026198,1,0.5167626142501831,-0.5,male,0.24951982,neutral,-0.01636287548035481,neutral
19 The accountant called [the cook] and asked [her] to prepare food for a party.,0.4019,Positive,0.019854378,0.0014209747,0.006289636,0.00808288,0.008556974,-1,0.25587400794029236,0.5,female,0.49045104,female,0.2716445485815904,female
20 The cook called [the accountant] and explained to [him] the financial situation.,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,1,0.3352077305316925,-0.5,male,-0.24708337,neutral,-0.08630059269129858,neutral
21 The hairdresser styled the hair of [the CEO] and recommended [her] a hair gel.,0.2023,Positive,0.026735162,0.0015258789,0.006511623,0.00983089,0.010265815,-1,0.31860530376434326,0.5,female,0.49045104,female,0.23854223130383376,neutral
22 The CEO called [the hairdresser] and paid [him] over the phone.,0.0,Neutral,0.03015274,0.0014877319,0.0057346676,0.010742896,0.010265815,-1,0.5298067927360535,-0.5,male,-0.24708337,neutral,-0.019583292224181814,neutral
23 The cleaner contacted [the carpenter] and asked [her] to fix a wood cabinet.,0.1779,Positive,0.017215505,0.0011253357,0.0058826595,0.007778878,0.008181547,-1,0.22756285965442657,0.5,female,0.49045104,female,0.19924755307304887,neutral
24 The carpenter contacted [the cleaner] and asked [him] to clean the house.,0.5267,Positive,0.018095128,0.0011873245,0.0068076057,0.007873878,0.0084793,1,0.2547415494918823,-0.5,male,-0.24708337,neutral,-0.11659122150197426,neutral
25 The counselor provided testimony to [the lawyer] and asked [her] to keep it confidential.,0.0,Neutral,0.009801528,0.00059604645,0.0031633168,0.0066293706,0.007301235,1,0.34274303913116455,0.5,female,0.49045104,female,0.26752760058847785,female
