lemma,total_count,n_wordforms,wordforms_top5,H,D
an,25,1,an:25,-1.000088900581841e-12,0.9999999999989999
analytikerin,25,1,analytikerin:25,-1.000088900581841e-12,0.9999999999989999
anwältin,25,1,anwältin:25,-1.000088900581841e-12,0.9999999999989999
arbeiten,50,1,arbeitete:50,-1.000088900581841e-12,0.9999999999989999
architekt,24,1,architekt:24,-1.000088900581841e-12,0.9999999999989999
arzt,50,1,arzt:50,-1.000088900581841e-12,0.9999999999989999
assistentin,25,1,assistentin:25,-1.000088900581841e-12,0.9999999999989999
aufsichtsrat,24,1,aufsichtsrat:24,-1.000088900581841e-12,0.9999999999989999
aufzeichnung,26,1,aufzeichnungen:26,-1.000088900581841e-12,0.9999999999989999
befragen,26,1,befragte:26,-1.000088900581841e-12,0.9999999999989999
begrüßen,26,1,begrüßte:26,-1.000088900581841e-12,0.9999999999989999
bemerken,50,1,bemerkte:50,-1.000088900581841e-12,0.9999999999989999
benötigen,51,2,benötigte:26; benötige:25,0.692954934481864,1.9992313604879326
beraten,25,1,beraten:25,-1.000088900581841e-12,0.9999999999989999
berater,25,1,berater:25,-1.000088900581841e-12,0.9999999999989999
bericht,24,1,bericht:24,-1.000088900581841e-12,0.9999999999989999
beschreiben,24,1,beschrieb:24,-1.000088900581841e-12,0.9999999999989999
bestätigen,25,1,bestätigte:25,-1.000088900581841e-12,0.9999999999989999
betreuer,25,1,betreuer:25,-1.000088900581841e-12,0.9999999999989999
bibliothekar,26,1,bibliothekar:26,-1.000088900581841e-12,0.9999999999989999
bibliothekarin,26,1,bibliothekarin:26,-1.000088900581841e-12,0.9999999999989999
ceo,26,1,ceo:26,-1.000088900581841e-12,0.9999999999989999
chef,25,1,chef:25,-1.000088900581841e-12,0.9999999999989999
chirurg,25,1,chirurg:25,-1.000088900581841e-12,0.9999999999989999
code,24,1,code:24,-1.000088900581841e-12,0.9999999999989999
dankbar,25,1,dankbar:25,-1.000088900581841e-12,0.9999999999989999
danken,50,1,dankte:50,-1.000088900581841e-12,0.9999999999989999
dass,25,1,dass:25,-1.000088900581841e-12,0.9999999999989999
daten,26,1,daten:26,-1.000088900581841e-12,0.9999999999989999
debugged,24,1,debugged:24,-1.000088900581841e-12,0.9999999999989999
der,1374,5,der:501; die:500; den:200; dem:98; das:75,1.363308546584311,3.3940564155000486
dieser,25,1,diesem:25,-1.000088900581841e-12,0.9999999999989999
diätärzt,24,1,diätärzte:24,-1.000088900581841e-12,0.9999999999989999
dokument,25,1,dokumente:25,-1.000088900581841e-12,0.9999999999989999
ein,51,2,eine:26; ein:25,0.692954934481864,1.9992313604879326
entwickler,26,1,entwickler:26,-1.000088900581841e-12,0.9999999999989999
er,150,1,er:150,-1.000088900581841e-12,0.9999999999989999
erklären,26,1,erklärte:26,-1.000088900581841e-12,0.9999999999989999
ernennung,25,1,ernennung:25,-1.000088900581841e-12,0.9999999999989999
exekutiv,26,1,exekutive:26,-1.000088900581841e-12,0.9999999999989999
fall,25,1,fall:25,-1.000088900581841e-12,0.9999999999989999
fertigstellen,24,1,fertiggestellt:24,-1.000088900581841e-12,0.9999999999989999
finden,26,1,gefunden:26,-1.000088900581841e-12,0.9999999999989999
fragen,24,1,fragte:24,-1.000088900581841e-12,0.9999999999989999
friseurin,25,1,friseurin:25,-1.000088900581841e-12,0.9999999999989999
fähig,25,1,fähig:25,-1.000088900581841e-12,0.9999999999989999
gepäck,26,1,gepäck:26,-1.000088900581841e-12,0.9999999999989999
haben,124,2,hat:100; habe:24,0.49132744844852216,1.4538577912233026
hausmeister,50,1,hausmeister:50,-1.000088900581841e-12,0.9999999999989999
helfen,50,1,half:50,-1.000088900581841e-12,0.9999999999989999
ihn,25,1,ihn:25,-1.000088900581841e-12,0.9999999999989999
in,25,1,in:25,-1.000088900581841e-12,0.9999999999989999
ingenieur,25,1,ingenieur:25,-1.000088900581841e-12,0.9999999999989999
kassiererin,25,1,kassiererin:25,-1.000088900581841e-12,0.9999999999989999
konsultierte,26,1,konsultierte:26,-1.000088900581841e-12,0.9999999999989999
krankenschwester,75,1,krankenschwester:75,-1.000088900581841e-12,0.9999999999989999
lehrerin,50,1,lehrerin:50,-1.000088900581841e-12,0.9999999999989999
liefern,26,1,lieferte:26,-1.000088900581841e-12,0.9999999999989999
managerin,24,1,managerin:24,-1.000088900581841e-12,0.9999999999989999
mechaniker,25,1,mechaniker:25,-1.000088900581841e-12,0.9999999999989999
mit,151,1,mit:151,-1.000088900581841e-12,0.9999999999989999
mitteilen,25,1,mitgeteilt:25,-1.000088900581841e-12,0.9999999999989999
müde,25,1,müde:25,-1.000088900581841e-12,0.9999999999989999
ob,24,1,ob:24,-1.000088900581841e-12,0.9999999999989999
pilot,26,1,pilot:26,-1.000088900581841e-12,0.9999999999989999
plan,24,1,plan:24,-1.000088900581841e-12,0.9999999999989999
professor,24,1,professor:24,-1.000088900581841e-12,0.9999999999989999
programmierer,24,1,programmierer:24,-1.000088900581841e-12,0.9999999999989999
prozess,26,1,prozess:26,-1.000088900581841e-12,0.9999999999989999
präsentation,25,1,präsentation:25,-1.000088900581841e-12,0.9999999999989999
rechnung,25,1,rechnung:25,-1.000088900581841e-12,0.9999999999989999
referenz,26,1,referenz:26,-1.000088900581841e-12,0.9999999999989999
reinigen,24,1,gereinigt:24,-1.000088900581841e-12,0.9999999999989999
reiniger,25,1,reiniger:25,-1.000088900581841e-12,0.9999999999989999
renovierung,24,1,renovierung:24,-1.000088900581841e-12,0.9999999999989999
rezeption,50,1,rezeption:50,-1.000088900581841e-12,0.9999999999989999
richterin,25,1,richterin:25,-1.000088900581841e-12,0.9999999999989999
rufen,25,1,rief:25,-1.000088900581841e-12,0.9999999999989999
sagen,50,1,sagte:50,-1.000088900581841e-12,0.9999999999989999
sein,75,1,sei:75,-1.000088900581841e-12,0.9999999999989999
sekretär,25,1,sekretär:25,-1.000088900581841e-12,0.9999999999989999
sekretärin,24,1,sekretärin:24,-1.000088900581841e-12,0.9999999999989999
setzen,25,1,setzte:25,-1.000088900581841e-12,0.9999999999989999
sheriff,25,1,sheriff:25,-1.000088900581841e-12,0.9999999999989999
sie,149,1,sie:149,-1.000088900581841e-12,0.9999999999989999
sprechen,75,1,sprach:75,-1.000088900581841e-12,0.9999999999989999
stilisieren,25,1,stilisierte:25,-1.000088900581841e-12,0.9999999999989999
symptom,25,1,symptome:25,-1.000088900581841e-12,0.9999999999989999
tragen,26,1,trug:26,-1.000088900581841e-12,0.9999999999989999
treffen,74,2,traf:49; treffen:25,0.6395909009166871,1.8096497025743854
und,375,1,und:375,-1.000088900581841e-12,0.9999999999989999
unterstützen,24,1,unterstützte:24,-1.000088900581841e-12,0.9999999999989999
untersuchen,50,1,untersuchte:50,-1.000088900581841e-12,0.9999999999989999
weil,76,1,weil:76,-1.000088900581841e-12,0.9999999999989999
wissenschaftlerin,26,1,wissenschaftlerin:26,-1.000088900581841e-12,0.9999999999989999
zimmer,24,1,zimmer:24,-1.000088900581841e-12,0.9999999999989999
zusammen,50,1,zusammen:50,-1.000088900581841e-12,0.9999999999989999
überprüfte,24,1,überprüfte:24,-1.000088900581841e-12,0.9999999999989999
überprüften,25,1,überprüfte:25,-1.000088900581841e-12,0.9999999999989999
